dataset,horizon,family,model,context_length,n_windows,n_series,mae,rmse,mase,smape,latency_p50_ms,latency_p95_ms,peak_mem_mb,train_seconds,params,zero_shot,unregistered,unregistered_license
electricity_hourly,24,tsfm,chronos_bolt,168,528,24,75.90728986586886,97.73034490339911,0.7909986782604406,10.953290970447602,35.361645000023145,39.50467395005717,1.0751953125,,205292928.0,True,False,
electricity_hourly,24,tsfm,timesfm25,168,528,24,85.91398368017617,108.94484749327856,0.8776909768407469,12.005290345477258,122.07851899984234,132.81557585009978,11.94287109375,,231289280.0,True,False,
electricity_hourly,24,baseline,seasonal_naive,168,528,24,106.03227588383838,139.96003812887102,1.0026711955779415,9.965745168536394,0.0725879999663448,0.10788869985844936,,,0.0,True,False,
electricity_hourly,24,classical,auto_ets,168,528,24,137.33931476525615,170.98790295088062,1.143603333953807,15.494906004446912,176.81517749952036,243.73324829903135,,0.17675416649944958,,False,False,
electricity_hourly,24,ml,xgboost_lags,168,528,24,136.16885742713995,175.40832775001803,1.2855543517990753,15.834577489098448,104.18232650044956,160.5928542505353,,0.0967736319998948,,False,False,
electricity_hourly,24,deep,transformer,168,528,24,178.6642853726989,219.37223316445102,1.7362601800655224,20.420497634762373,599.767828499921,655.6185464000123,10.6845703125,0.5986154125000667,19232.0,False,False,
electricity_hourly,24,deep,lstm,168,528,24,177.28399536087892,225.46489959995628,1.7458307906335058,18.843225833789486,341.9745535001084,374.9611698500303,16.14599609375,0.3324170505000552,4513.0,False,False,
electricity_hourly,24,classical,auto_arima,168,528,24,309.47193150621575,357.3704995478861,3.0265184412607082,27.707617288906455,529.7608164983103,1031.0128521510705,,0.5293826354991324,,False,False,
electricity_hourly,24,baseline,naive,168,528,24,430.338226010101,564.7028824154343,4.509795300991522,31.630850681203224,0.0638875008007744,0.09787824965314935,,,0.0,True,False,
electricity_hourly,48,tsfm,chronos_bolt,168,528,24,84.64346163368062,111.3199813151015,0.854962977531262,11.418514696493991,34.39458449986432,37.25286830017467,1.0751953125,,205292928.0,True,False,
electricity_hourly,48,tsfm,timesfm25,168,528,24,96.78647357622405,126.05657670759297,0.9583439352921084,12.668644124242796,118.35170900008052,124.87403745000165,11.94287109375,,231289280.0,True,False,
electricity_hourly,48,baseline,seasonal_naive,168,528,24,119.4938446969697,160.2738162001607,1.1129830933236002,11.432914077556182,0.0835669998195953,0.12394344994390842,,,0.0,True,False,
electricity_hourly,48,classical,auto_ets,168,528,24,149.6847610491412,187.64392050007558,1.2382444430023225,16.50181570200465,174.19199150026543,234.78994264914942,,0.17414217299847218,,False,False,
electricity_hourly,48,ml,xgboost_lags,168,528,24,157.9520451935706,204.26792609761955,1.4648068331752144,17.29203933041192,108.2970759998716,168.8326781017167,,0.09420049099935565,,False,False,
electricity_hourly,48,deep,transformer,168,528,24,188.62830995987744,236.57123319202532,1.762859499951342,20.53664976329759,584.6763255000269,625.3204668500075,10.6845703125,0.5825758730001098,19232.0,False,False,
electricity_hourly,48,deep,lstm,168,528,24,210.8308611891725,271.99118295717255,2.1488000226048167,21.639142224952828,342.5915335000127,374.41051865004056,16.14599609375,0.32491950250005175,4513.0,False,False,
electricity_hourly,48,classical,auto_arima,168,528,24,342.89130351428565,392.9175836288515,3.352608361428832,29.62335139371898,523.2983855003113,1094.07628834997,,0.5207637390012678,,False,False,
electricity_hourly,48,baseline,naive,168,528,24,439.68663194444434,574.4565318278075,4.572417092572008,32.68945655894579,0.06521450086438554,0.10204715072177348,,,0.0,True,False,
electricity_hourly,96,tsfm,chronos_bolt,168,504,24,90.38155387833261,118.82337306340827,0.946774284759088,11.855286604101222,75.19631700006357,79.75918569995883,12.59375,,205292928.0,True,False,
electricity_hourly,96,tsfm,timesfm25,168,504,24,101.42680564643963,132.77290060446057,1.0419289847388995,12.868158000672004,116.22343699968951,121.89882610014136,11.94287109375,,231289280.0,True,False,
electricity_hourly,96,baseline,seasonal_naive,168,504,24,129.34459738756613,174.14460790354732,1.2492536890114292,12.616430823126914,0.0806309999461518,0.12329839955782515,,,0.0,True,False,
electricity_hourly,96,classical,auto_ets,168,504,24,151.64225977216378,188.05858114414613,1.3692784224447134,16.84060085661646,179.6454765008093,262.6786990002073,,0.1795698219993937,,False,False,
electricity_hourly,96,ml,xgboost_lags,168,504,24,171.3757525799795,221.01361576811385,1.702135271405636,18.587608296467597,118.102190501304,172.51587809805642,,0.0933634930006519,,False,False,
electricity_hourly,96,deep,transformer,168,504,24,187.13516421390386,237.34286778098485,1.8559184698990674,20.441022127105477,576.7960160001167,618.4685964999289,10.6845703125,0.5737773795001431,19232.0,False,False,
electricity_hourly,96,deep,lstm,168,504,24,260.7226377000029,340.40505789816547,2.8375528146453837,25.38930469488702,354.661240500036,389.6508992497502,16.14599609375,0.3200433164997776,4513.0,False,False,
electricity_hourly,96,classical,auto_arima,168,504,24,368.4891030022475,419.7963727206317,3.739934078027582,31.032642206390673,512.1749179998005,1006.8182017021171,,0.5110944539992488,,False,False,
electricity_hourly,96,baseline,naive,168,504,24,450.49390294312167,584.9724922119889,4.78972617212982,33.87930368917995,0.057597999330027905,0.09567234719725091,,,0.0,True,False,
electricity_hourly,192,tsfm,chronos_bolt,168,504,24,98.93245717737253,138.08402494350696,1.0398610056847004,12.62912053181728,114.37238349981271,121.82375219999814,15.55126953125,,205292928.0,True,False,
electricity_hourly,192,tsfm,timesfm25,168,504,24,106.28359412052177,147.36555338326528,1.1071630587719243,13.379923098945255,213.60935650022836,225.1159131000122,13.52490234375,,231289280.0,True,False,
electricity_hourly,192,baseline,seasonal_naive,168,504,24,131.93720031415344,184.6178649938229,1.2967587753211796,12.450178344167671,0.08858550063450815,0.1322309028182644,,,0.0,True,False,
electricity_hourly,192,classical,auto_ets,168,504,24,165.642307449022,214.47350520148538,1.5529300412420664,17.95646828120713,178.33864649946918,257.2066499513311,,0.1782748559999163,,False,False,
electricity_hourly,192,ml,xgboost_lags,168,504,24,191.88158867976082,252.46230925866448,1.9394426688273365,20.183647106599032,149.05868499772623,213.77744914880168,,0.0976163229988742,,False,False,
electricity_hourly,192,deep,transformer,168,504,24,202.35019608844473,264.52616121017155,2.0404874637793893,21.852903940245948,584.305073500218,623.6125196498961,10.6845703125,0.5785971165000774,19232.0,False,False,
electricity_hourly,192,deep,lstm,168,504,24,328.20968314333476,427.5629153131272,3.6247591535842223,30.320511266385218,389.10146000011997,424.63479890000144,16.14599609375,0.3202850719999333,4513.0,False,False,
